|||Columns|
Rows|||Turkey|
||||
||||
||2021|2623.0|
|Production Quantity and 01.19.10.27.00. (Sudan Otu (Yemlik)) - Tonne|2021|10605.0|
|Production Quantity and 01.19.10.28.00. (Çayır Otu (Yeşilot)) - Tonne|2020|293848.0|
||2021|804681.0|
|Production Quantity and 01.19.10.29.00. (Arpa (Yeşilot)) - Tonne|2012|16680.0|
||2013|31596.0|
||2014|50752.0|
||2015|46649.0|
||2016|69199.0|
||2017|281063.0|
||2018|416963.0|
||2019|466979.0|
||2020|537066.0|
||2021|443553.0|
|Production Quantity and 01.19.10.30.00. (Çavdar (Yeşilot)) - Tonne|2012|2032.0|
||2013|2828.0|
||2014|7177.0|
||2015|6411.0|
||2016|8857.0|
||2017|24124.0|
||2018|59029.0|
||2019|71998.0|
||2020|98195.0|
||2021|114162.0|
|Production Quantity and 01.19.10.31.00. (Bezelye (Yemlik)) - Tonne|2014|70422.0|
||2015|84821.0|
||2016|121124.0|
||2017|139366.0|
||2018|210706.0|
||2019|283928.0|
||2020|452776.0|
||2021|486233.0|
|Production Quantity and 01.19.10.32.00. (İtalyan Çimi (Yemlik)) - Tonne|2014|17023.0|
||2015|58046.0|
||2016|210935.0|
||2017|348046.0|
||2018|448086.0|
||2019|616709.0|
||2020|971691.0|
||2021|1380195.0|
